"Country.Code","Short.Name","Region","Income.Group"
"AFG","Afghanistan","South Asia","Low income"
"ALB","Albania","Europe & Central Asia","Upper middle income"
"ASM","American Samoa","East Asia & Pacific","Upper middle income"
"AND","Andorra","Europe & Central Asia","High income"
"ARM","Armenia","Europe & Central Asia","Lower middle income"
"AUS","Australia","East Asia & Pacific","High income"
"AUT","Austria","Europe & Central Asia","High income"
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income"
"BGD","Bangladesh","South Asia","Lower middle income"
"BLR","Belarus","Europe & Central Asia","Upper middle income"
"BEL","Belgium","Europe & Central Asia","High income"
"BTN","Bhutan","South Asia","Lower middle income"
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"BRN","Brunei","East Asia & Pacific","High income"
"BGR","Bulgaria","Europe & Central Asia","Upper middle income"
"KHM","Cambodia","East Asia & Pacific","Lower middle income"
"CHI","Channel Islands","Europe & Central Asia","High income"
"CHN","China","East Asia & Pacific","Upper middle income"
"HRV","Croatia","Europe & Central Asia","Upper middle income"
"CYP","Cyprus","Europe & Central Asia","High income"
"CZE","Czech Republic","Europe & Central Asia","High income"
"PRK","Dem. People's Rep. Korea","East Asia & Pacific","Low income"
"DNK","Denmark","Europe & Central Asia","High income"
"EST","Estonia","Europe & Central Asia","High income"
"FRO","Faroe Islands","Europe & Central Asia","High income"
"FJI","Fiji","East Asia & Pacific","Upper middle income"
"FIN","Finland","Europe & Central Asia","High income"
"FRA","France","Europe & Central Asia","High income"
"PYF","French Polynesia","East Asia & Pacific","High income"
"GEO","Georgia","Europe & Central Asia","Lower middle income"
"DEU","Germany","Europe & Central Asia","High income"
"GIB","Gibraltar","Europe & Central Asia","High income"
"GRC","Greece","Europe & Central Asia","High income"
"GRL","Greenland","Europe & Central Asia","High income"
"GUM","Guam","East Asia & Pacific","High income"
"HKG","Hong Kong SAR, China","East Asia & Pacific","High income"
"HUN","Hungary","Europe & Central Asia","High income"
"ISL","Iceland","Europe & Central Asia","High income"
"IND","India","South Asia","Lower middle income"
"IDN","Indonesia","East Asia & Pacific","Lower middle income"
"IRL","Ireland","Europe & Central Asia","High income"
"IMN","Isle of Man","Europe & Central Asia","High income"
"ITA","Italy","Europe & Central Asia","High income"
"JPN","Japan","East Asia & Pacific","High income"
"KAZ","Kazakhstan","Europe & Central Asia","Upper middle income"
"KIR","Kiribati","East Asia & Pacific","Lower middle income"
"KOR","Korea","East Asia & Pacific","High income"
"XKX","Kosovo","Europe & Central Asia","Lower middle income"
"KGZ","Kyrgyz Republic","Europe & Central Asia","Lower middle income"
"LAO","Lao PDR","East Asia & Pacific","Lower middle income"
"LVA","Latvia","Europe & Central Asia","High income"
"LIE","Liechtenstein","Europe & Central Asia","High income"
"LTU","Lithuania","Europe & Central Asia","High income"
"LUX","Luxembourg","Europe & Central Asia","High income"
"MAC","Macao SAR, China","East Asia & Pacific","High income"
"MKD","Macedonia","Europe & Central Asia","Upper middle income"
"MYS","Malaysia","East Asia & Pacific","Upper middle income"
"MDV","Maldives","South Asia","Upper middle income"
"MHL","Marshall Islands","East Asia & Pacific","Upper middle income"
"FSM","Micronesia","East Asia & Pacific","Lower middle income"
"MDA","Moldova","Europe & Central Asia","Lower middle income"
"MCO","Monaco","Europe & Central Asia","High income"
"MNG","Mongolia","East Asia & Pacific","Lower middle income"
"MNE","Montenegro","Europe & Central Asia","Upper middle income"
"MMR","Myanmar","East Asia & Pacific","Lower middle income"
"NRU","Nauru","East Asia & Pacific","Upper middle income"
"NPL","Nepal","South Asia","Low income"
"NLD","Netherlands","Europe & Central Asia","High income"
"NCL","New Caledonia","East Asia & Pacific","High income"
"NZL","New Zealand","East Asia & Pacific","High income"
"MNP","Northern Mariana Islands","East Asia & Pacific","High income"
"NOR","Norway","Europe & Central Asia","High income"
"PAK","Pakistan","South Asia","Lower middle income"
"PLW","Palau","East Asia & Pacific","High income"
"PNG","Papua New Guinea","East Asia & Pacific","Lower middle income"
"PHL","Philippines","East Asia & Pacific","Lower middle income"
"POL","Poland","Europe & Central Asia","High income"
"PRT","Portugal","Europe & Central Asia","High income"
"ROU","Romania","Europe & Central Asia","Upper middle income"
"RUS","Russia","Europe & Central Asia","Upper middle income"
"WSM","Samoa","East Asia & Pacific","Upper middle income"
"SMR","San Marino","Europe & Central Asia","High income"
"SRB","Serbia","Europe & Central Asia","Upper middle income"
"SGP","Singapore","East Asia & Pacific","High income"
"SVK","Slovak Republic","Europe & Central Asia","High income"
"SVN","Slovenia","Europe & Central Asia","High income"
"SLB","Solomon Islands","East Asia & Pacific","Lower middle income"
"ESP","Spain","Europe & Central Asia","High income"
"LKA","Sri Lanka","South Asia","Lower middle income"
"SWE","Sweden","Europe & Central Asia","High income"
"CHE","Switzerland","Europe & Central Asia","High income"
"TJK","Tajikistan","Europe & Central Asia","Lower middle income"
"THA","Thailand","East Asia & Pacific","Upper middle income"
"TLS","Timor-Leste","East Asia & Pacific","Lower middle income"
"TON","Tonga","East Asia & Pacific","Upper middle income"
"TUR","Turkey","Europe & Central Asia","Upper middle income"
"TKM","Turkmenistan","Europe & Central Asia","Upper middle income"
"TUV","Tuvalu","East Asia & Pacific","Upper middle income"
"UKR","Ukraine","Europe & Central Asia","Lower middle income"
"GBR","United Kingdom","Europe & Central Asia","High income"
"UZB","Uzbekistan","Europe & Central Asia","Lower middle income"
"VUT","Vanuatu","East Asia & Pacific","Lower middle income"
"VNM","Vietnam","East Asia & Pacific","Lower middle income"
