Country.Name,Country.Code,Indicator.Name,Indicator.Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X,Short.Name,Income.Group
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,47.47000122,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Afghanistan,Low income
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,22222233.33,24444455.56,26666680,68888922.22,71111144.44,113333340,1.20E+08,113333340,122222228.9,142222222.2,171111104.4,199999988.9,235555544.4,224444437.8,302222222.2,300000006.7,337777777.8,344444451.1,357777771.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1337189555,1996491933,1796873038,1719072441,1868166953,1754538352,1833579463,1836528323,1597480951,1095048850,1132970325,1278247871,1354003892,1345496131,1342632359,Not Available,Not Available,Afghanistan,Low income
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.77732651,59.87815281,58.49287383,78.78275804,82.20844386,101.2904713,137.8993619,161.3220001,129.5066538,129.7985414,157.1874224,160.3728356,136.1170144,144.1103189,174.9420383,187.975604,199.0261727,226.0053438,249.2873863,277.9007417,274.8808587,266.4930418,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,117.4096908,187.845095,198.7285436,219.1413528,250.2941299,272.563077,369.835796,373.3611163,445.8932979,553.3002894,603.5370231,669.0090509,638.6125432,629.3452503,569.5779229,561.7787463,Not Available,Not Available,Afghanistan,Low income
Afghanistan,AFG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,37777780,44444446.67,51111111.11,126666717.8,144444451.1,215555548.9,259999993.3,237777784.4,208888900,211111117.8,208888900,295555548.9,288888877.8,255555562.2,3.20E+08,337777777.8,380000006.7,437777795.6,457777788.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2695612253,4324401128,4605719092,4861120343,5228625785,5743886682,5612184212,5269393819,7162552543,7924080689,8038495178,10083041877,9436790253,9377504680,9544683716,Not Available,Not Available,Afghanistan,Low income
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.292,32.742,33.185,33.624,34.06,34.495,34.928,35.361,35.796,36.234,36.678,37.128,37.587,38.056,38.54,39.039,39.556,40.092,40.65,41.234,41.853,42.513,43.217,43.963,44.747,45.566,46.417,47.288,48.164,49.028,49.856,50.627,51.331,51.968,52.539,53.055,53.533,53.997,54.468,54.959,55.482,56.044,56.637,57.25,57.875,58.5,59.11,59.694,60.243,60.754,61.226,61.666,62.086,62.494,62.895,63.288,63.673,Not Available,Not Available,Afghanistan,Low income
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.15768051,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31.74111938,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Afghanistan,Low income
Albania,ALB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48,Not Available,Not Available,50.29999924,Not Available,Not Available,90.58000183,46.25,47.47000122,47.43000031,51.86000061,49.36999893,44.09999847,44.33000183,46.15000153,48.74000168,Not Available,Not Available,Albania,Upper middle income
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,335069933,319090900.3,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.68,189399541.5,225407481,302465325.4,371128296.1,229987998.6,293568702,540103549.6,648940336.6,748461645.6,869225487.8,1169843190,1608022160,1862113161,2242225040,3005295932,3259292016,3040048180,3337098456,3769483126,3565036059,3671617045,3732081775,3104918356,3437166961,Not Available,Not Available,Albania,Upper middle income
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,662.5200523,662.9147926,719.1572957,699.3842921,676.5667325,723.4096102,639.4638993,348.7113178,218.4921659,380.5273711,619.0651634,760.5593758,1046.358511,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.178068,4247.614308,4413.081697,4578.666728,3934.895394,4124.98239,Not Available,Not Available,Albania,Upper middle income
Albania,ALB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,372867136.2,362610725.8,336224987.5,335624987.5,408575012.5,483800000,487500000,314316659.7,627952433.9,764996711.8,773426393.9,836744255.2,1061577473,806850764.8,937667487.4,1099997513,1382114188,1583646805,1966308372,2590993958,3245963304,3872963233,4363324819,5862891873,6717536051,6004542100,5792205618,6700292383,5860852654,5999411368,6243050763,5071014157,5436290838,Not Available,Not Available,Albania,Upper middle income
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.279,63.298,64.187,64.911,65.461,65.848,66.108,66.302,66.485,66.687,66.933,67.235,67.58,67.951,68.341,68.734,69.108,69.447,69.741,69.99,70.207,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.802,71.86,71.992,72.205,72.495,72.838,73.208,73.588,73.955,74.286,74.575,74.82,75.028,75.217,75.418,75.656,75.943,76.281,76.652,77.031,77.389,77.702,77.963,78.174,78.345,Not Available,Not Available,Albania,Upper middle income
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,98.71298218,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95.93863678,Not Available,Not Available,96.84529877,97.24697113,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Albania,Upper middle income
Algeria,DZA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25.37000084,Not Available,Not Available,Not Available,Not Available,16.97999954,Not Available,Not Available,Not Available,31.93000031,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20.20000076,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37.22000122,37.54999924,36.15000153,Not Available,Not Available,36.43000031,Not Available,37.59999847,Not Available,Not Available,Algeria,Upper middle income
Algeria,DZA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1063398805,1125951671,396168199.3,667230625.9,729783512.3,708918190.8,789937412.7,789937412.7,891211439.9,1012740273,1073504628,936367707.5,1382755698,2222671247,5118637701,5241302552,5860031462,6414584619,6732393454,10354760932,14540716743,15338986631,13980227233,13635984130,13805836196,13664028064,8188005040,9525773299,9163454470,10369299882,14545657770,13311319293,12154240351,10880274367,9585149853,10939999981,13969999892,14890000201,10880000226,13692378406,23050101993,20085455101,20152475589,25957120317,34175415032,48714923163,57121832854,63531236408,82034752098,48533809677,61975405529,77581299501,77123006872,69659422182,64611501756,38460350139,33403107185,Not Available,Not Available,Algeria,Upper middle income
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,244.8248065,213.4859051,171.2098095,225.5305962,236.6101896,248.3781436,234.1889083,252.4182522,280.2682882,300.9818257,334.2595277,339.3840491,439.7311239,551.4344417,813.0499027,931.1055173,1031.303135,1185.510635,1447.618021,1771.965549,2189.77668,2223.697344,2197.1105,2298.883805,2452.664632,2567.495905,2740.654724,2790.473919,2402.825627,2202.55809,2394.42038,1721.578696,1766.054678,1797.523561,1499.971505,1444.908036,1596.029867,1612.009303,1588.481449,1581.004564,1757.017797,1732.857979,1774.033673,2094.335506,2598.908023,3100.122378,3464.610079,3935.183343,4905.254866,3868.83123,4463.394675,5432.41332,5565.134521,5471.123389,5466.425778,4160.220067,3916.881571,Not Available,Not Available,Algeria,Upper middle income
Algeria,DZA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1828756553,1643566052,416678732,995399149.3,856506258.9,810192218.1,749427801.7,729172996.3,931721050.8,1195033582,1417836382,1404551500,1739595878,2753081355,4688097732,6684559680,6580527283,8753738135,10590281903,10925699712,12846905746,13693869109,13109185467,12591881327,14748966629,15493853614,14759677286,12288659588,13356326943,15862794362,15472204242,10788718990,11458142448,11557078492,11083919236,12110000386,11240000369,10279999650,10849999758,11079835972,11390139111,12053065885,14547453035,16203129320,21884326066,24843326827,25651596273,33568752300,49096311176,49331042958,50654731588,57376109789,59611982759,63767462893,68262397502,60621193744,56097067791,Not Available,Not Available,Algeria,Upper middle income
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.138,46.596,47.054,47.507,47.956,48.392,48.809,49.208,49.595,49.98,50.369,50.77,51.198,51.673,52.215,52.863,53.658,54.606,55.696,56.906,58.196,59.521,60.823,62.047,63.156,64.113,64.896,65.525,66.025,66.416,66.725,66.983,67.226,67.482,67.774,68.115,68.504,68.926,69.367,69.822,70.292,70.778,71.276,71.78,72.281,72.767,73.225,73.648,74.032,74.374,74.676,74.944,75.187,75.418,75.641,75.86,76.078,Not Available,Not Available,Algeria,Upper middle income
