"Country.Code","Short.Name","Region"
"ABW","Aruba","Latin America & Caribbean"
"AFG","Afghanistan","South Asia"
"AGO","Angola","Sub-Saharan Africa"
"ALB","Albania","Europe & Central Asia"
"AND","Andorra","Europe & Central Asia"
"ARE","United Arab Emirates","Middle East & North Africa"
"ARG","Argentina","Latin America & Caribbean"
"ARM","Armenia","Europe & Central Asia"
"ASM","American Samoa","East Asia & Pacific"
"ATG","Antigua and Barbuda","Latin America & Caribbean"
"AUS","Australia","East Asia & Pacific"
"AUT","Austria","Europe & Central Asia"
"AZE","Azerbaijan","Europe & Central Asia"
"BDI","Burundi","Sub-Saharan Africa"
"BEL","Belgium","Europe & Central Asia"
"BEN","Benin","Sub-Saharan Africa"
"BFA","Burkina Faso","Sub-Saharan Africa"
"BGD","Bangladesh","South Asia"
"BGR","Bulgaria","Europe & Central Asia"
"BHR","Bahrain","Middle East & North Africa"
"BHS","The Bahamas","Latin America & Caribbean"
"BIH","Bosnia and Herzegovina","Europe & Central Asia"
"BLR","Belarus","Europe & Central Asia"
"BLZ","Belize","Latin America & Caribbean"
"BMU","Bermuda","North America"
"BOL","Bolivia","Latin America & Caribbean"
"BRA","Brazil","Latin America & Caribbean"
"BRB","Barbados","Latin America & Caribbean"
"BRN","Brunei","East Asia & Pacific"
"BTN","Bhutan","South Asia"
"BWA","Botswana","Sub-Saharan Africa"
"CAF","Central African Republic","Sub-Saharan Africa"
"CAN","Canada","North America"
"CHE","Switzerland","Europe & Central Asia"
"CHI","Channel Islands","Europe & Central Asia"
"CHL","Chile","Latin America & Caribbean"
"CHN","China","East Asia & Pacific"
"CIV","Côte d'Ivoire","Sub-Saharan Africa"
"CMR","Cameroon","Sub-Saharan Africa"
"COD","Dem. Rep. Congo","Sub-Saharan Africa"
"COG","Congo","Sub-Saharan Africa"
"COL","Colombia","Latin America & Caribbean"
"COM","Comoros","Sub-Saharan Africa"
"CPV","Cabo Verde","Sub-Saharan Africa"
"CRI","Costa Rica","Latin America & Caribbean"
"CUB","Cuba","Latin America & Caribbean"
"CUW","Curaçao","Latin America & Caribbean"
